X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
304897.46158592,9159919.49662913,5729,MUDHAKIR,Kroya,Perajin Tahu,1,0,,122400,0,122400,122400,109.231515200000004,-7.596424379000000
306850.147035426,9156060.72863795,5730,SUPRIONO,Kroya,Perajin Tahu,1,0,,122400,0,122400,122400,109.249067800000006,-7.631385008000000
308023.32528049,9159053.2465472,5731,TURIMAN,Kroya,Perajin Tahu,1,0,,122400,0,122400,122400,109.259808699999994,-7.604371034000000
305526.503358336,9156613.34497392,5732,H. AMBARI,Kroya,Warung Rokok,3,0,SIUP/TDP,120614,0,120614,120614,109.237093099999996,-7.626339831000000
308087.10423508,9156532.48025915,5733,SAN SUMARDI,Kroya,Perajin Tempe,4,0,,120096,0,120096,120096,109.260294700000003,-7.627164915000000
302191.862287024,9157324.93362308,5734,SANMIARJO,Kroya,Bahan Pokok,2,0,SIUP/TDP,120000,0,120000,120000,109.206901299999998,-7.619781969000000
301108.185423653,9156760.48272512,5735,BUDIANTO,Kroya,"Pupuk, obat-obatan pertanian",2,2,,120000,0,120000,120000,109.197059899999999,-7.624844504000000
302727.723488957,9160011.54291982,5740,ESTI,Kroya,Makanan Ringan,1,0,,120000,0,120000,120000,109.211857800000004,-7.595511646000000
301212.037587425,9157133.44615969,5742,SUSANTI,Kroya,Bawang Goreng,3,0,P-IRT,119040,0,119040,119040,109.198015100000006,-7.621476383000000
304522.467130485,9156496.38869403,5743,YUSWANTO,Kroya,DAM,2,0,P-IRT,119040,0,119040,119040,109.227990100000000,-7.627360099000000
306837.079059633,9155917.3754949,5744,YENI WIDIASTUTI,Kroya,Rempeyek,2,0,P-IRT,119040,0,119040,119040,109.248944100000003,-7.632680650000000
310628.042739504,9154402.11897739,5745,WEMMY WAHYUNI,Kroya,Roti Basah,3,0,P-IRT,119040,0,119040,119040,109.283244499999995,-7.646518841000000
307248.05758074,9156355.71756414,5747,FAIDAH,Kroya,Batik,2,0,,118800,0,118800,118800,109.252684599999995,-7.628732462000000
302035.021205009,9155882.85457089,5748,LIA,Kroya,Batik,2,0,,118800,0,118800,118800,109.205425700000006,-7.632814275000000
305906.677492418,9156800.75804358,5749,SAWEN,Kroya,Bahan Pokok,6,0,SIUP/TDP,115200,0,115200,115200,109.240545200000000,-7.624659377000000
306065.024200592,9154977.8123656,5751,NURTIANA,Kroya,Bahan Pokok,6,0,SIUP/TDP,115000,0,115000,115000,109.241912799999994,-7.641147237000000
308256.282677688,9159396.79929923,5753,CHABIB,Kroya,Bahan Pokok,7,0,SIUP/TDP,110000,0,110000,110000,109.261932200000004,-7.601273253000000
310112.388568899,9156096.25864696,5755,AHMAD WAHIDIN,Kroya,Bahan Pokok,5,0,SIUP/TDP,108000,0,108000,108000,109.278632599999995,-7.631182489000000
308758.961996618,9156243.12074947,5757,EKO HARAPAN,Kroya,Bahan Pokok,4,0,SIUP TDP,108000,0,108000,108000,109.266372700000005,-7.629805618000000
307186.912073447,9157962.0682056,5758,JAIKEM,Kroya,Bahan Pokok,3,0,SIUP TDP,108000,0,108000,108000,109.252189400000006,-7.614206436000000
301908.454074188,9157890.25983865,5762,MINHAJUL QOWIM,Kroya,Jamur Tiram,3,0,,108000,0,108000,108000,109.204354400000000,-7.614660071000000
307548.679439759,9157625.60668195,5763,SRI RAHAYUNI,Kroya,Konveksi,7,0,,107682,0,107682,107682,109.255455400000002,-7.617261765000000
305439.176433308,9154158.75027207,5765,MASTOLKAH,Kroya,Bahan Pokok,3,0,SIUP/TDP,105780,0,105780,105780,109.236210700000001,-7.648529567000000
305963.212551087,9156653.84701217,5768,SUGIO,Kroya,Perajin Tahu,1,0,,105019,0,105019,105019,109.241052100000005,-7.625989745000000
302896.422844483,9153715.15182764,5769,SURATMI,Kroya,Perajin Tahu,1,0,,105019,0,105019,105019,109.213150299999995,-7.652445423000000
303555.327572794,9158519.60923079,5772,Ny SUPARMI,Kroya,Bahan Pokok,3,0,SIUP/TDP,102960,0,102960,102960,109.219301400000006,-7.609031519000000
308707.298625689,9156264.79134258,5774,JAENI,Kroya,Perajin Tempe,4,0,,102960,0,102960,102960,109.265905300000000,-7.629607805000000
307126.655137374,9155756.18927461,5775,KASNO,Kroya,Perajin Tempe,4,0,,102960,0,102960,102960,109.251562399999997,-7.634148634000000
